question,hit_rate,mrr,citation_accuracy,semantic_relevance,groundedness,latency
What is the definition of a One Person Company?,0,0.0,0,0,0.8148148148148148,16.741129636764526
What is the maximum number of members allowed in a private company?,0,0.0,0,0,0.6136363636363636,14.803324937820435
What defines a small company under the Companies Act?,0,0.0,0,0,0.5454545454545454,13.572435855865479
What is the punishment for fraud according to the Companies Act?,1,1.0,1,0,0.8507462686567164,15.339175701141357
Which companies are required to constitute a Corporate Social Responsibility Committee?,1,1.0,1,0,0.8378378378378378,14.835976600646973
Who is considered a Key Managerial Personnel in a company?,0,0.0,0,0,0.65625,14.485390424728394
What is the threshold of aggregate turnover for GST registration in special category States?,1,1.0,1,0,0.7894736842105263,13.416096925735474
List categories of persons requiring compulsory registration under GST.,1,1.0,1,0,0.6056338028169014,15.283780574798584
What conditions must be met to take input tax credit under GST?,1,1.0,1,0,0.6699029126213593,17.26923131942749
What is the rate of tax deduction at source (TDS) under the GST Act?,0,0.0,0,0,0.5,13.751332759857178
How is 'capital goods' defined under the GST Act?,0,0.0,0,0,0.8157894736842105,14.554651021957397
What is the definition of a 'casual taxable person' in GST?,0,0.0,0,0,0.7636363636363637,14.276662111282349
Who is included in the definition of 'person' under the Income Tax Act?,0,0.0,0,0,0.4098360655737705,14.678984642028809
When is a company said to be resident in India for Income Tax purposes?,1,0.3333333333333333,1,0,0.8484848484848485,13.900968551635742
What is the Minimum Alternate Tax (MAT) rate based on book profit?,0,0.0,0,0,0.6666666666666666,15.536787986755371
What is a short-term capital asset?,0,0.0,0,0,0.45454545454545453,18.06012773513794
Is a Limited Liability Partnership (LLP) considered a body corporate?,1,0.5,1,0,0.5625,16.03653645515442
What are the requirements for designated partners in an LLP?,1,0.5,1,0,0.6336633663366337,20.281347513198853
Who can be a partner in a Limited Liability Partnership?,0,0.0,0,0,0.7878787878787878,14.48622179031372
What constitutes the financial year for a Limited Liability Partnership?,0,0.0,0,0,0.5789473684210527,15.031986951828003
How is 'partnership' defined under the Partnership Act?,1,0.3333333333333333,1,0,0.5384615384615384,14.254836082458496
What is a 'partnership at will'?,1,0.25,0,0,0.6875,18.050061225891113
Can a minor be admitted to a partnership?,1,1.0,1,0,0.75,17.470379114151
What is the effect of non-registration of a partnership firm regarding suits?,1,1.0,1,0,0.7164179104477612,17.660948753356934
Who can initiate the corporate insolvency resolution process?,1,1.0,1,0,0.7619047619047619,15.826653957366943
What is the time limit for the completion of the insolvency resolution process?,1,1.0,1,0,0.673469387755102,16.689764738082886
What prohibitions apply during a moratorium under the IBC?,0,0.0,0,0,0.6475409836065574,24.21704649925232
What voting share is required for the withdrawal of an insolvency application?,0,0.0,0,0,0.7368421052631579,16.087461471557617
Who comprises the committee of creditors in a corporate insolvency resolution process?,1,0.25,1,0,0.6,16.293961763381958
What is the order of priority for distribution of assets during liquidation?,1,1.0,1,0,0.7741935483870968,17.409513235092163
